 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in Methane (gas)

 Ion = Boron [5] , Mass = 8 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 11.07%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.80 MeV   1.142E+01  2.358E-02    6.36 mm   221.43 um   261.55 um  
   2.00 MeV   1.159E+01  2.158E-02    6.81 mm   231.81 um   266.85 um  
   2.25 MeV   1.169E+01  1.955E-02    7.37 mm   246.38 um   272.90 um  
   2.50 MeV   1.169E+01  1.789E-02    7.93 mm   259.96 um   278.49 um  
   2.75 MeV   1.163E+01  1.650E-02    8.49 mm   272.89 um   283.74 um  
   3.00 MeV   1.152E+01  1.533E-02    9.06 mm   285.37 um   288.75 um  
   3.25 MeV   1.138E+01  1.432E-02    9.63 mm   297.56 um   293.58 um  
   3.50 MeV   1.122E+01  1.344E-02   10.21 mm   309.55 um   298.28 um  
   3.75 MeV   1.105E+01  1.267E-02   10.79 mm   321.41 um   302.88 um  
   4.00 MeV   1.087E+01  1.199E-02   11.39 mm   333.20 um   307.42 um  
   4.50 MeV   1.050E+01  1.084E-02   12.62 mm   377.11 um   316.37 um  
   5.00 MeV   1.014E+01  9.901E-03   13.88 mm   419.04 um   325.26 um  
   5.50 MeV   9.798E+00  9.121E-03   15.20 mm   459.72 um   334.19 um  
   6.00 MeV   9.469E+00  8.461E-03   16.55 mm   499.62 um   343.22 um  
   6.50 MeV   9.156E+00  7.895E-03   17.96 mm   539.04 um   352.40 um  
   7.00 MeV   8.857E+00  7.404E-03   19.41 mm   578.21 um   361.76 um  
   8.00 MeV   8.300E+00  6.594E-03   22.47 mm   723.98 um   381.18 um  
   9.00 MeV   7.793E+00  5.951E-03   25.72 mm   860.17 um   401.69 um  
  10.00 MeV   7.331E+00  5.429E-03   29.19 mm   992.08 um   423.43 um  
  11.00 MeV   6.910E+00  4.995E-03   32.86 mm     1.12 mm   446.53 um  
  12.00 MeV   6.527E+00  4.629E-03   36.76 mm     1.25 mm   471.10 um  
  13.00 MeV   6.178E+00  4.315E-03   40.89 mm     1.38 mm   497.21 um  
  14.00 MeV   5.860E+00  4.043E-03   45.24 mm     1.52 mm   524.93 um  
  15.00 MeV   5.570E+00  3.805E-03   49.82 mm     1.65 mm   554.30 um  
  16.00 MeV   5.305E+00  3.595E-03   54.64 mm     1.79 mm   585.38 um  
  17.00 MeV   5.086E+00  3.408E-03   59.68 mm     1.93 mm   618.11 um  
  18.00 MeV   4.864E+00  3.241E-03   64.94 mm     2.07 mm   652.51 um  
  20.00 MeV   4.451E+00  2.953E-03   76.20 mm     2.62 mm   726.69 um  
  22.50 MeV   4.058E+00  2.661E-03   91.60 mm     3.41 mm   829.41 um  
  25.00 MeV   3.732E+00  2.424E-03  108.43 mm     4.17 mm   942.76 um  
  27.50 MeV   3.457E+00  2.227E-03  126.65 mm     4.91 mm     1.07 mm  
  30.00 MeV   3.223E+00  2.062E-03  146.27 mm     5.64 mm     1.20 mm  
  32.50 MeV   3.020E+00  1.920E-03  167.25 mm     6.38 mm     1.34 mm  
  35.00 MeV   2.844E+00  1.797E-03  189.59 mm     7.13 mm     1.50 mm  
  37.50 MeV   2.690E+00  1.690E-03  213.26 mm     7.89 mm     1.66 mm  
  40.00 MeV   2.553E+00  1.596E-03  238.24 mm     8.65 mm     1.83 mm  
  45.00 MeV   2.320E+00  1.436E-03  292.05 mm    11.54 mm     2.21 mm  
  50.00 MeV   2.130E+00  1.307E-03  350.94 mm    14.25 mm     2.61 mm  
  55.00 MeV   1.972E+00  1.200E-03  414.83 mm    16.90 mm     3.05 mm  
  60.00 MeV   1.836E+00  1.110E-03  483.65 mm    19.52 mm     3.53 mm  
  65.00 MeV   1.719E+00  1.033E-03  557.34 mm    22.15 mm     4.04 mm  
  70.00 MeV   1.617E+00  9.665E-04  635.87 mm    24.80 mm     4.57 mm  
  80.00 MeV   1.445E+00  8.572E-04  807.19 mm    34.72 mm     5.75 mm  
  90.00 MeV   1.307E+00  7.709E-04  997.78 mm    44.01 mm     7.05 mm  
 100.00 MeV   1.191E+00  7.010E-04    1.21 m     53.15 mm     8.49 mm  
 110.00 MeV   1.094E+00  6.432E-04    1.44 m     62.33 mm    10.05 mm  
 120.00 MeV   1.011E+00  5.946E-04    1.69 m     71.65 mm    11.74 mm  
 130.00 MeV   9.394E-01  5.531E-04    1.95 m     81.18 mm    13.56 mm  
 140.00 MeV   8.771E-01  5.172E-04    2.24 m     90.94 mm    15.52 mm  
 150.00 MeV   8.227E-01  4.858E-04    2.55 m    100.94 mm    17.61 mm  
 160.00 MeV   7.751E-01  4.582E-04    2.88 m    111.18 mm    19.84 mm  
 170.00 MeV   7.333E-01  4.337E-04    3.23 m    121.65 mm    22.19 mm  
 180.00 MeV   6.966E-01  4.118E-04    3.59 m    132.33 mm    24.68 mm  
 200.00 MeV   6.362E-01  3.742E-04    4.38 m    173.13 mm    30.04 mm  
 225.00 MeV   5.805E-01  3.362E-04    5.46 m    230.91 mm    37.38 mm  
 250.00 MeV   5.372E-01  3.055E-04    6.63 m    284.57 mm    45.36 mm  
 275.00 MeV   4.963E-01  2.801E-04    7.90 m    336.67 mm    53.97 mm  
 300.00 MeV   4.619E-01  2.587E-04    9.27 m    388.59 mm    63.21 mm  
 325.00 MeV   4.324E-01  2.405E-04   10.73 m    440.72 mm    73.08 mm  
 350.00 MeV   4.069E-01  2.248E-04   12.29 m    493.28 mm    83.56 mm  
 375.00 MeV   3.846E-01  2.111E-04   13.95 m    546.39 mm    94.64 mm  
 400.00 MeV   3.649E-01  1.990E-04   15.69 m    600.12 mm   106.31 mm  
 450.00 MeV   3.318E-01  1.786E-04   19.46 m    803.08 mm   131.38 mm  
 500.00 MeV   3.049E-01  1.622E-04   23.58 m    992.95 mm   158.67 mm  
 550.00 MeV   2.826E-01  1.487E-04   28.04 m      1.18 m    188.11 mm  
 600.00 MeV   2.638E-01  1.373E-04   32.83 m      1.36 m    219.60 mm  
 650.00 MeV   2.478E-01  1.275E-04   37.96 m      1.54 m    253.09 mm  
 700.00 MeV   2.340E-01  1.192E-04   43.39 m      1.72 m    288.50 mm  
 800.00 MeV   2.113E-01  1.054E-04   55.17 m      2.40 m    364.87 mm  
 900.00 MeV   1.934E-01  9.458E-05   68.13 m      3.02 m    448.20 mm  
